Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
374,Duncan Robinson\robindu01,SF,25,MIA,21,16,25.5,3.8,8,0.479,2.9,6.6,0.435,1,1.4,0.69,0.659,0.7,0.8,0.938,0.1,2.8,2.9,0.8,0.8,0.4,0.7,2.7,11.2
375,Glenn Robinson\robingl02,SF,26,GSW,23,23,32,4.6,10.2,0.449,1.2,3.2,0.384,3.3,7,0.478,0.509,1.1,1.3,0.833,1.5,3,4.5,1.9,0.9,0.3,0.9,1.6,11.4
376,Jerome Robinson\robinje01,SG,22,LAC,17,0,12.1,1.4,4,0.353,0.6,1.9,0.344,0.8,2.1,0.361,0.434,0.3,0.5,0.625,0.1,1.5,1.6,1,0.3,0.4,0.7,1.4,3.8
377,Justin Robinson\robinju01,PG,22,WAS,4,0,3,0.5,1.3,0.4,0.3,0.3,1,0.3,1,0.25,0.5,0,0,,0.3,0.5,0.8,0.5,0,0,0.5,0,1.3
378,Mitchell Robinson\robinmi01,C,21,NYK,17,6,20.5,3.4,4.9,0.679,0,0,,3.4,4.9,0.679,0.679,1.8,2.9,0.612,2.9,3.7,6.6,0.6,0.6,1.9,0.9,3.8,8.5
379,Rajon Rondo\rondora01,PG,33,LAL,12,0,21.5,3.3,7.4,0.449,1.4,2.8,0.5,1.9,4.6,0.418,0.545,0.7,0.9,0.727,0.3,3.3,3.6,6.1,1,0,1.8,1.1,8.8
380,Derrick Rose\rosede01,PG,31,DET,17,1,23.4,6.2,12.7,0.491,0.8,2.3,0.333,5.5,10.4,0.525,0.521,2.6,3.1,0.865,0.4,1.4,1.8,5.8,0.8,0.4,2.5,1.2,15.9
381,Terrence Ross\rosste01,SG,28,ORL,19,0,24,4.5,10.9,0.409,1.8,6.1,0.304,2.6,4.9,0.538,0.493,1.8,2.1,0.85,0.3,2.6,2.9,1,0.9,0.3,1.2,1.8,12.6
382,Terry Rozier\roziete01,PG,25,CHO,23,23,32.5,6.3,14.4,0.435,2.7,6.7,0.403,3.6,7.7,0.463,0.529,2.4,2.8,0.862,0.7,3.6,4.3,4.2,1.3,0.2,2.7,2.3,17.7
383,Ricky Rubio\rubiori01,PG,29,PHO,15,15,30.5,4.3,10.9,0.39,1.1,3.5,0.321,3.1,7.4,0.423,0.442,2.9,3.5,0.83,0.6,4.1,4.7,8.3,1.3,0.1,1.7,2.8,12.6
